Common Name,Threatened status,Kingdom,Class,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
Woylie,Endangered,Animalia,Mammalia,-,Yes,-,-,Yes,-,-,Yes
"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",Extinct,Animalia,Mammalia,-,Yes,Yes,Yes,Yes,-,Yes,Yes
Nullarbor Dwarf Bettong,Extinct,Animalia,Mammalia,-,-,-,-,Yes,-,-,Yes
Northern Bettong,Endangered,Animalia,Mammalia,-,Yes,-,Yes,-,-,-,-
"Small-petalled Beyeria, Short-petalled Beyeria",Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Kangaroo Island Turpentine Bush,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
"Silver Perch, Bidyan",Endangered,Animalia,Actinopterygii,Yes,Yes,-,Yes,Yes,-,Yes,-
Norfolk Island Water-fern,Endangered,Plantae,Polypodiatae,-,-,-,-,-,-,-,-
"Tree Nettle, Nettletree",Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,-
Barbalin Boronia,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
a shrub,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Bremer Boronia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Scott River Boronia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Aniseed Boronia, Galbraith's Boronia",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Granite Boronia,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Grimshaw's boronia,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
"Gunn's Boronia, Cataract Gorge Boronia",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
Mt Arthur Boronia,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
Velvet Boronia,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Key's Boronia,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
a shrub,Vulnerable,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
"Repand Boronia, Border Boronia",Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Ironcap Boronia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Awl-leaved Boronia,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Orara Boronia,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
a shrub,Vulnerable,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
Grampians Pincushion-lily,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
"Three-leaved Bosistoa, Yellow Satinheart",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Sword Bossiaea,Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Australasian Bittern,Endangered,Animalia,Aves,Yes,Yes,-,Yes,Yes,Yes,Yes,Yes
Satin-top Grass,Vulnerable,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Spotted Handfish,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,-,Yes,-,-
"Ziebell's Handfish, Waterfall Bay Handfish",Vulnerable,Animalia,Actinopterygii,-,-,-,-,-,Yes,-,-
Blackwall Range Kurrajong,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Ormeau Bottle Tree,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Ironstone Brachyscias,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Corunna Daisy,Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Mueller Daisy,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,Yes,-
Mossgiel Daisy,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Haines's Orange Mangrove,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Budawangs Cliff-heath,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Miniature Moss-orchid, Hoop Pine Orchid",Vulnerable,Plantae,Liliopsida,-,Yes,-,Yes,-,-,-,-
Wispy Umbrella Orchid,Vulnerable,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
Pale Umbrella Orchid,Vulnerable,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Liliopsida,-,-,Yes,-,-,-,-,-
Mountain Pygmy-possum,Endangered,Animalia,Mammalia,-,Yes,-,-,-,-,Yes,-
Ooline,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Daintree Rainbowfish,Critically Endangered,Animalia,Actinopterygii,-,-,-,Yes,-,-,-,-
"Cairns Rainbowfish, Northern Soft-spined Sunfish",Endangered,Animalia,Actinopterygii,-,-,-,Yes,-,-,-,-
Canberra Spider Orchid,Critically Endangered,Plantae,Liliopsida,Yes,-,-,-,-,-,-,-
-,Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Charming Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
"Genoa Spider-orchid, Gippsland Spider Orchid",Critically Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,Yes,-
Black-tipped Spider-orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
Sand-hill Spider-orchid,Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
White-beauty Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
Black-clubbed Spider-orchid,Endangered,Plantae,Liliopsida,-,Yes,-,Yes,-,-,-,-
Duramana Fingers,Critically Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
"McIvor Spider-orchid, Audas' Spider-orchid",Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
"Small Dragon Orchid, Common Dragon Orchid",Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Pink-lipped Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
Short Spider-orchid,Extinct,Plantae,Liliopsida,-,-,-,-,-,Yes,Yes,-
Winter Spider-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
Dwarf Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Northern Dwarf Spider-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Bussell's Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Cape Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Limestone Spider-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,Yes,-,Yes,-
"Thick-stem Caladenia, Thick-stem Fairy Fingers",Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
Tailed Spider-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
Christine's Spider Orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,Yes,-
"Crimson Spider-orchid, Maroon Spider-orchid",Vulnerable,Plantae,Liliopsida,-,Yes,-,-,Yes,-,Yes,-
Coast Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
"Don's Spider Orchid, Beady Spider Orchid",Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
Windswept Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
Cossack Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Hinged Dragon Orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Elegant Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Giant Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
"Elegant Spider-orchid, Blood-red Spider-orchid",Vulnerable,Plantae,Liliopsida,-,-,-,-,Yes,-,Yes,-
Tawny Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,Yes,-
"Bayonet Spider-orchid, Clubbed Spider-orchid",Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
"Pingaring Spider-orchid, Granite Spider-orchid",Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
-,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
"Harrington's Spider-orchid, Pink Spider-orchid",Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Melblom's Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
Hoffman's Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
"Quindanning Spider Orchid, Boddington Spider Orchid",Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
"King Spider-orchid, Grand Spider-orchid, Rusty Spider-orchid",Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
French Island Spider-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
Ghost Spider-orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
Collie Spider Orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Lindley's Spider-orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
Lodge's Spider-orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Wimmera Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,Yes,-
Lemon Spider Orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Large-club Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
"Ballerina Orchid, Ballerina Spider Orchid",Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Eastern Spider Orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
Ornate Pink Fingers,Vulnerable,Plantae,Liliopsida,-,-,-,-,Yes,-,Yes,-
Kangaroo Island Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
"Rosy Spider Orchid, Pale Spider-orchid, Summer Spider-orchid",Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
Carbunup King Spider Orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Dwarf Spider-orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
Little Dip Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
Stiff White Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
Frankston Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
"Rosella Spider-orchid, Little Pink Spider-orchid",Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,Yes,-
Sagg Spider-orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
Kilsyth South Spider-orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
Forest Fingers,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
"Greencomb Spider-orchid, Rigid Spider-orchid",Endangered,Plantae,Liliopsida,-,Yes,-,-,Yes,-,Yes,-
"Thick-lipped Spider-orchid, Daddy Long-legs",Vulnerable,Plantae,Liliopsida,-,Yes,-,-,-,-,Yes,-
Fringed Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
Robust Fingers,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
Candy Spider-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,Yes,-,Yes,-
Dunsborough Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Kalbarri Spider-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Williams Spider Orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Majestic Spider-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Woolcock's Spider-orchid,Vulnerable,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
Yellow-lip Spider-orchid,Endangered,Plantae,Liliopsida,-,Yes,-,-,Yes,-,Yes,-
"White Rabbits, Flinders Ranges White Caladenia",Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
Chestnut-rumped Heathwren (Mt Lofty Ranges),Endangered,Animalia,Aves,-,-,-,-,Yes,-,-,-
Blue Tinsel Lily,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Elegant Tinsel Lily,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Stilted Tinsel Lily,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Sharp-tailed Sandpiper,Vulnerable,Animalia,Aves,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Red Knot, Knot",Vulnerable,Animalia,Aves,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Curlew Sandpiper,Critically Endangered,Animalia,Aves,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Great Knot,Vulnerable,Animalia,Aves,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Forrester's Bottlebrush,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,Yes,-
Betka Bottlebrush,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Megalong Valley Bottlebrush,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
a bottlebrush,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Wimmera Bottlebrush,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,Yes,-
Corang Pine,Critically Endangered,Plantae,Pinatae,-,Yes,-,-,-,-,-,-
South Esk Pine,Endangered,Plantae,Pinatae,-,-,-,-,-,Yes,-,-
-,Critically Endangered,Plantae,Pinatae,-,Yes,-,-,-,-,-,-
Gang-gang Cockatoo,Endangered,Animalia,Aves,Yes,Yes,-,-,Yes,-,Yes,-
Copper Beard Orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,Yes,-,-,-
Cardwell Beard Orchid,Endangered,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
"Pretty Beard Orchid, Pretty Beard-orchid",Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,Yes,-
Bald-tip Beard-orchid,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,Yes,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Desert Rat-kangaroo,Extinct,Animalia,Mammalia,-,-,-,Yes,Yes,-,-,-
Mauve Burr-daisy,Vulnerable,Plantae,Magnoliopsida,Yes,Yes,-,-,-,-,-,-
Moore's Burr-daisy,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
South-eastern Red-tailed Black-Cockatoo,Endangered,Animalia,Aves,-,-,-,-,Yes,-,Yes,-
"Forest Red-tailed Black-Cockatoo, Karrak",Vulnerable,Animalia,Aves,-,-,-,-,-,-,-,Yes
"Baudin's Cockatoo, Long-billed Black-Cockatoo",Endangered,Animalia,Aves,-,-,-,-,-,-,-,Yes
"Kangaroo Island Glossy Black-Cockatoo, Glossy Black-Cockatoo (South Australian)",Endangered,Animalia,Aves,-,-,-,-,Yes,-,-,-
South-eastern Glossy Black-Cockatoo,Vulnerable,Animalia,Aves,Yes,Yes,-,Yes,-,-,Yes,-
"Carnaby's Cockatoo,  Short-billed Black-Cockatoo",Endangered,Animalia,Aves,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Swamp Starflower,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Grey Nurse Shark (east coast population),Critically Endangered,Animalia,Chondrichthyes,-,Yes,-,Yes,-,-,Yes,-
Grey Nurse Shark (west coast population),Vulnerable,Animalia,Chondrichthyes,-,-,-,-,-,-,-,Yes
"White Shark, Great White Shark",Vulnerable,Animalia,Chondrichthyes,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Loggerhead Turtle,Endangered,Animalia,Reptilia,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Pig-nosed Turtle, Pitted Shell Turtle",Vulnerable,Animalia,Reptilia,-,-,Yes,-,-,-,-,-
"Alpine Cool-skink, Northern Snow Skink",Endangered,Animalia,Reptilia,-,-,-,-,-,Yes,-,-
"Boulder Cool-skink, Southern Snow Skink",Endangered,Animalia,Reptilia,-,-,-,-,-,Yes,-,-
"Heath Cool-skink, Mountain Skink",Endangered,Animalia,Reptilia,-,-,-,-,-,Yes,-,-
"Pedra Branca Skink,  Pedra Branca Cool-skink, Red-throated Skink",Critically Endangered,Animalia,Reptilia,-,-,-,-,-,Yes,-,-
-,Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Wrinkled Cassinia, Wrinkled Dollybush",Vulnerable,Plantae,Magnoliopsida,-,-,-,-,Yes,Yes,Yes,-
Avenue Cassinia,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,Yes,-
Kaputar Cassinia,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
"Southern Cassowary, Australian Cassowary, Double-wattled Cassowary",Endangered,Animalia,Aves,-,-,-,Yes,-,-,-,-
"Pedder Centrolepis, Pedder Bristlewort",Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
an orchid,Vulnerable,Plantae,Liliopsida,-,-,-,Yes,-,-,-,-
"Cape Barren Goose (south-western), Recherche Cape Barren Goose",Vulnerable,Animalia,Aves,-,-,-,-,-,-,-,Yes
Tasmanian Azure Kingfisher,Endangered,Animalia,Aves,-,-,-,-,-,Yes,-,-
"Pig-footed Bandicoot, Kanjilpa, Wilalya",Extinct,Animalia,Mammalia,-,Yes,Yes,Yes,Yes,-,Yes,Yes
"Yirratji, Northern Pig-footed Bandicoot",Extinct,Animalia,Mammalia,-,-,Yes,Yes,Yes,-,-,Yes
"Christmas Island Emerald Dove, Emerald Dove (Christmas Island)",Endangered,Animalia,Aves,-,-,-,-,-,-,-,-
"Large-eared Pied Bat, Large Pied Bat",Endangered,Animalia,Mammalia,-,Yes,-,Yes,-,-,-,-
Griffin's Waxflower,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Gingin Wax,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Royce's Waxflower,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Greater Sand Plover, Large Sand Plover",Vulnerable,Animalia,Aves,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Lesser Sand Plover, Mongolian Plover",Endangered,Animalia,Aves,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Twining Finger-flower,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Green Turtle,Vulnerable,Animalia,Reptilia,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sand Yabby,Vulnerable,Animalia,Malacostraca,-,-,-,Yes,-,-,-,-
"Hairy Marron, Margaret River Hairy Marron, Margaret River Marron",Critically Endangered,Animalia,Malacostraca,-,-,-,-,-,-,-,Yes
Duck's-head Wasp-orchid,Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Polypodiatae,-,-,-,Yes,-,-,-,-
Dalhousie Goby,Critically Endangered,Animalia,Actinopterygii,-,-,-,-,Yes,-,-,-
Elizabeth Springs Goby,Endangered,Animalia,Actinopterygii,-,-,-,Yes,-,-,-,-
Edgbaston Goby,Vulnerable,Animalia,Actinopterygii,-,-,-,Yes,-,-,-,-
Manypeaks Rush,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Spiked Sour-bush,Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Prostrate Flame Pea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Limestone Pea,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
"Lord Howe Island Gecko, Lord Howe Island Southern Gecko",Vulnerable,Animalia,Reptilia,-,Yes,-,-,-,-,-,-
"Mt Lofty Ranges Spotted Quail-thrush, Spotted Quail-thrush (Mt Lofty Ranges)",Critically Endangered,Animalia,Aves,-,-,-,-,Yes,-,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,-,Yes,-,-,-,-,-
"a creeper, Clematis",Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,-
Stream Clematis,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Brown Treecreeper (south-eastern),Vulnerable,Animalia,Aves,Yes,Yes,-,Yes,-,-,Yes,-
"Slender Bell-fruit, Camel Poison",Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,Yes,-,-,-
Three-toed Snake-tooth Skink,Vulnerable,Animalia,Reptilia,-,Yes,-,Yes,-,-,-,-
Hidden Coleanthera,Extinct,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Millmerran Mint Bush,Critically Endangered,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Curtis' Colobanth,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",Extinct,Animalia,Aves,-,Yes,-,-,-,-,-,-
Byfield Matchstick,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Many-flowered Commersonia,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Trigwell's Rulingia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Dwarf Kerrawang,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,Yes,-
"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",Extinct,Animalia,Mammalia,-,Yes,-,Yes,Yes,-,Yes,-
Capricorn Rabbit-rat,Extinct,Animalia,Mammalia,-,-,-,Yes,-,-,-,-
"Brush-tailed Rabbit-rat, Brush-tailed Tree-rat, Pakooma",Vulnerable,Animalia,Mammalia,-,-,Yes,Yes,-,-,-,Yes
One-headed Smokebush,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Variable Smoke-bush,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,Yes,-,-
-,Critically Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Wavy-leaved Smokebush,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
Irwin's Conostylis,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Drummond's Conostylis,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Sedge Conostylis,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Small-flowered Conostylis,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Grass Conostylis,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
"Kulin Conostylis, Single-flowered Conostylis",Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Hairy Mat Conostylis,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Boscabel Conostylis,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Wongan Conostylis,Endangered,Plantae,Liliopsida,-,-,-,-,-,-,-,Yes
Mauve Coopernookia,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,Yes
-,Vulnerable,Plantae,Magnoliopsida,-,-,-,Yes,-,-,-,-
Tapping Nursery-frog,Endangered,Animalia,Amphibia,-,-,-,Yes,-,-,-,-
Elegant Frog,Critically Endangered,Animalia,Amphibia,-,-,-,Yes,-,-,-,-
"Hosmer's Frog, Rattling Nursery-frog",Critically Endangered,Animalia,Amphibia,-,-,-,Yes,-,-,-,-
"McDonald's Frog, Mt Elliot Nursery-frog",Critically Endangered,Animalia,Amphibia,-,-,-,Yes,-,-,-,-
Mountain-top Nursery-frog,Critically Endangered,Animalia,Amphibia,-,-,-,Yes,-,-,-,-
"Neglected Frog, Bellenden Ker Nursery-frog",Critically Endangered,Animalia,Amphibia,-,-,-,Yes,-,-,-,-
Coastal Coprosma,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,-
Mountain Coprosma,Endangered,Plantae,Magnoliopsida,-,-,-,-,-,-,-,-
Native Jute,Endangered,Plantae,Magnoliopsida,-,Yes,-,Yes,-,-,-,-
Ti,Vulnerable,Plantae,Liliopsida,-,-,-,-,-,-,-,-
a beetle,Critically Endangered,Animalia,Insecta,-,Yes,-,-,-,-,-,-
-,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Chef's Cap,Vulnerable,Plantae,Magnoliopsida,-,Yes,-,-,-,-,-,-
Hindmarsh Correa,Vulnerable,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Deep Creek Correa,Endangered,Plantae,Magnoliopsida,-,-,-,-,Yes,-,-,-
Genoa River Correa,Endangered,Plantae,Magnoliopsida,-,Yes,-,-,-,-,Yes,-
"Short-spiked Midge-orchid, Rocky Cape Midge Orchid",Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
"Brindabella Midge-orchid, Ectopic Midge-orchid",Critically Endangered,Plantae,Liliopsida,Yes,-,-,-,-,-,-,-
Firth's Midge-orchid,Critically Endangered,Plantae,Liliopsida,-,-,-,-,-,Yes,-,-
"Wyong Midge Orchid 1, Variable Midge Orchid 1",Critically Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Tuncurry Midge Orchid,Critically Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
Wyong Midge Orchid 2,Critically Endangered,Plantae,Liliopsida,-,Yes,-,-,-,-,-,-
